title,price,address,sqm,rooms,age,station,imageUrl,detailUrl,source,note
"ブランズ 渋谷","6115万円","東京都品川区渋谷茅場町20-5","60㎡","3K","築5年","中央線 赤坂駅 徒歩14分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"シティタワー 麻布","7431万円","東京都品川区麻布京橋14-8","40㎡","2K","築7年","京急線 大崎駅 徒歩3分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"シーフォート 中目黒","14854万円","東京都港区中目黒西町12-7","73㎡","1LDK","築10年","三田線 二子玉川駅 徒歩14分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"ザ・パークハウス 自由が丘","4825万円","東京都板橋区自由が丘南町3-5","40㎡","1K","築40年","埼京線 恵比寿駅 徒歩4分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"リバーサイド 成城","5591万円","東京都港区成城5丁目16-5","61㎡","1K","築3年","大江戸線 五反田駅 徒歩12分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"ブランズ 恵比寿","4724万円","東京都台東区恵比寿神田9-9","79㎡","3LDK","築7年","浅草線 秋葉原駅 徒歩14分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"パークアクシス 東京","7077万円","東京都葛飾区東京元町13-3","75㎡","3LDK","築20年","浅草線 代官山駅 徒歩13分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"リバーサイド 有楽町","3813万円","東京都墨田区有楽町西町13-6","41㎡","1DK","築40年","日比谷線 四ツ谷駅 徒歩9分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"ブランズ 中目黒","7611万円","東京都台東区中目黒大門12-7","71㎡","3LDK","築3年","京急線 二子玉川駅 徒歩13分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
"プラウド 目黒","8482万円","東京都板橋区目黒3丁目10-6","70㎡","2DK","築40年","三田線 三軒茶屋駅 徒歩7分","https://example.com/image.jpg","https://example.com/property/detail","Sample Data (Based on Tokyo real estate trends)","This is sample data generated based on typical Tokyo real estate patterns. For actual property data, please check official real estate websites."
